Name,US dollar
30/11/1994,383.1
30/12/1994,383.25
31/1/1995,374.9
28/2/1995,376.4
31/3/1995,392
28/4/1995,389.75
31/5/1995,384.3
30/6/1995,387.05
31/7/1995,383.35
31/8/1995,382.35
29/9/1995,384
31/10/1995,382.65
30/11/1995,387.8
29/12/1995,387
31/1/1996,405.55
29/2/1996,400.65
29/3/1996,396.35
30/4/1996,391.3
31/5/1996,390.55
28/6/1996,382
31/7/1996,385.3
30/8/1996,386.45
30/9/1996,379
31/10/1996,379.5
29/11/1996,371.3
31/12/1996,369.25
31/1/1997,345.5
28/2/1997,358.6
31/3/1997,348.15
30/4/1997,340.15
30/5/1997,345.6
30/6/1997,334.55
31/7/1997,326.35
29/8/1997,325.35
30/9/1997,332.1
31/10/1997,311.4
28/11/1997,296.8
31/12/1997,290.2
30/1/1998,304.85
27/2/1998,297.4
31/3/1998,301
30/4/1998,310.7
29/5/1998,293.6
30/6/1998,296.3
31/7/1998,288.85
31/8/1998,273.4
30/9/1998,293.85
30/10/1998,292.3
30/11/1998,294.7
31/12/1998,287.8
29/1/1999,285.4
26/2/1999,287.05
31/3/1999,279.45
30/4/1999,286.6
31/5/1999,268.6
30/6/1999,261
30/7/1999,255.6
31/8/1999,254.8
30/9/1999,299
29/10/1999,299.1
30/11/1999,291.35
31/12/1999,290.25
31/1/2000,283.3
29/2/2000,293.65
31/3/2000,276.75
28/4/2000,275.05
31/5/2000,272.25
30/6/2000,288.15
31/7/2000,276.75
31/8/2000,277
29/9/2000,273.65
31/10/2000,264.5
30/11/2000,269.1
29/12/2000,274.45
31/1/2001,264.5
28/2/2001,266.7
30/3/2001,257.7
30/4/2001,263.15
31/5/2001,267.5
29/6/2001,270.6
31/7/2001,265.9
31/8/2001,273
28/9/2001,293.1
31/10/2001,278.75
30/11/2001,275.5
31/12/2001,276.5
31/1/2002,282.3
28/2/2002,296.85
29/3/2002,301.4
30/4/2002,308.2
31/5/2002,326.6
28/6/2002,318.5
31/7/2002,304.65
30/8/2002,312.8
30/9/2002,323.7
31/10/2002,316.9
29/11/2002,319.05
31/12/2002,347.2
31/1/2003,367.5
28/2/2003,347.45
31/3/2003,334.85
30/4/2003,336.75
30/5/2003,361.4
30/6/2003,346
31/7/2003,354.75
29/8/2003,375.6
30/9/2003,388
31/10/2003,386.25
28/11/2003,398.35
31/12/2003,416.25
30/1/2004,399.75
27/2/2004,395.85
31/3/2004,423.7
30/4/2004,388.5
31/5/2004,393.25
30/6/2004,395.8
30/7/2004,391.4
31/8/2004,407.25
30/9/2004,415.65
29/10/2004,425.55
30/11/2004,453.4
31/12/2004,435.6
31/1/2005,422.15
28/2/2005,435.45
31/3/2005,427.5
29/4/2005,435.7
31/5/2005,414.45
30/6/2005,437.1
29/7/2005,429
31/8/2005,433.25
30/9/2005,473.25
31/10/2005,470.75
30/11/2005,495.65
30/12/2005,513
31/1/2006,568.75
28/2/2006,556
31/3/2006,582
28/4/2006,644
31/5/2006,653
30/6/2006,613.5
31/7/2006,632.5
31/8/2006,623.5
29/9/2006,599.25
31/10/2006,603.75
30/11/2006,646.7
29/12/2006,632
31/1/2007,650.5
28/2/2007,664.2
30/3/2007,661.75
30/4/2007,677
31/5/2007,659.1
29/6/2007,650.5
31/7/2007,665.5
31/8/2007,672
28/9/2007,743
31/10/2007,789.5
30/11/2007,783.5
31/12/2007,833.75
31/1/2008,923.25
29/2/2008,971.5
31/3/2008,933.5
30/4/2008,871
30/5/2008,885.75
30/6/2008,930.25
31/7/2008,918
29/8/2008,833
30/9/2008,884.5
31/10/2008,730.75
28/11/2008,814.5
31/12/2008,869.75
30/1/2009,919.5
27/2/2009,952
31/3/2009,916.5
30/4/2009,883.25
29/5/2009,975.5
30/6/2009,934.5
31/7/2009,939
31/8/2009,955.5
30/9/2009,995.75
30/10/2009,1040
30/11/2009,1175.75
31/12/2009,1087.5
29/1/2010,1078.5
26/2/2010,1108.25
31/3/2010,1115.5
30/4/2010,1179.25
31/5/2010,1207.5
30/6/2010,1244
30/7/2010,1169
31/8/2010,1246
30/9/2010,1307
29/10/2010,1346.75
30/11/2010,1383.5
31/12/2010,1405.5
31/1/2011,1327
28/2/2011,1411
31/3/2011,1439
29/4/2011,1535.5
31/5/2011,1536.5
30/6/2011,1505.5
29/7/2011,1628.5
31/8/2011,1813.5
30/9/2011,1620
31/10/2011,1722
30/11/2011,1746
30/12/2011,1531
31/1/2012,1744
29/2/2012,1770
30/3/2012,1662.5
30/4/2012,1651.25
31/5/2012,1558
29/6/2012,1598.5
31/7/2012,1622
31/8/2012,1648.5
28/9/2012,1776
31/10/2012,1719
30/11/2012,1726
31/12/2012,1657.5
31/1/2013,1664.75
28/2/2013,1588.5
29/3/2013,1598.25
30/4/2013,1469
31/5/2013,1394.5
28/6/2013,1192
31/7/2013,1314.5
30/8/2013,1394.75
30/9/2013,1326.5
31/10/2013,1324
