Date,spot_gold,us_cpi_inflation,fed_interest_rate,usd_index
1971-01-01,38.05,39.9,4.14,120.24
1971-02-01,38.8,39.9,3.72,120.26
1971-03-01,38.88,40.0,3.71,120.17
1971-04-01,39.7,40.1,4.15,120.19
1971-05-01,40.84,40.3,4.63,119.43
1971-06-01,40.1,40.5,4.91,119.16
1971-07-01,42.4,40.6,5.31,118.76
1971-08-01,40.65,40.7,5.56,116.47
1971-09-01,42.6,40.8,5.55,114.93
1971-10-01,42.34,40.9,5.2,114.65
1971-11-01,43.6,41.0,4.91,114.01
1971-12-01,43.55,41.1,4.14,111.21
1972-01-01,47.15,41.2,3.5,109.6
