Date,spot_gold
1995-03-01,392.0
1995-04-01,389.75
1995-05-01,384.3
1995-06-01,387.05
1995-07-01,383.35
1995-08-01,382.35
1995-09-01,384.0
1995-10-01,382.65
1995-11-01,387.8
1995-12-01,387.0
1996-01-01,405.55
1996-02-01,400.65
1996-03-01,396.35
1996-04-01,391.3
1996-05-01,390.55
1996-06-01,382.0
1996-07-01,385.3
1996-08-01,386.45
1996-09-01,379.0
1996-10-01,379.5
1996-11-01,371.3
1996-12-01,369.25
1997-01-01,345.5
1997-02-01,358.6
1997-03-01,348.15
1997-04-01,340.15
1997-05-01,345.6
1997-06-01,334.55
1997-07-01,326.35
1997-08-01,325.35
1997-09-01,332.1
1997-10-01,311.4
1997-11-01,296.8
1997-12-01,290.2
1998-01-01,304.85
1998-02-01,297.4
1998-03-01,301.0
1998-04-01,310.7
1998-05-01,293.6
1998-06-01,296.3
1998-07-01,288.85
1998-08-01,273.4
1998-09-01,293.85
1998-10-01,292.3
1998-11-01,294.7
1998-12-01,287.8
1999-01-01,285.4
1999-02-01,287.05
1999-03-01,279.45
1999-04-01,286.6
1999-05-01,268.6
1999-06-01,261.0
1999-07-01,255.6
1999-08-01,254.8
1999-09-01,299.0
1999-10-01,299.1
1999-11-01,291.35
1999-12-01,290.25
2000-01-01,283.3
2000-02-01,293.65
2000-03-01,276.75
2000-04-01,275.05
2000-05-01,272.25
2000-06-01,288.15
2000-07-01,276.75
2000-08-01,277.0
2000-09-01,273.65
2000-10-01,264.5
2000-11-01,269.1
2000-12-01,274.45
2001-01-01,264.5
2001-02-01,266.7
2001-03-01,257.7
2001-04-01,263.15
2001-05-01,267.5
2001-06-01,270.6
2001-07-01,265.9
2001-08-01,273.0
2001-09-01,293.1
2001-10-01,278.75
2001-11-01,275.5
2001-12-01,276.5
2002-01-01,282.3
2002-02-01,296.85
2002-03-01,301.4
2002-04-01,308.2
2002-05-01,326.6
2002-06-01,318.5
2002-07-01,304.65
2002-08-01,312.8
2002-09-01,323.7
2002-10-01,316.9
2002-11-01,319.05
2002-12-01,347.2
2003-01-01,367.5
2003-02-01,347.45
2003-03-01,334.85
2003-04-01,336.75
2003-05-01,361.4
2003-06-01,346.0
2003-07-01,354.75
2003-08-01,375.6
2003-09-01,388.0
2003-10-01,386.25
2003-11-01,398.35
2003-12-01,416.25
2004-01-01,399.75
2004-02-01,395.85
2004-03-01,423.7
2004-04-01,388.5
2004-05-01,393.25
2004-06-01,395.8
2004-07-01,391.4
2004-08-01,407.25
2004-09-01,415.65
2004-10-01,425.55
2004-11-01,453.4
2004-12-01,435.6
2005-01-01,422.15
2005-02-01,435.45
2005-03-01,427.5
2005-04-01,435.7
2005-05-01,414.45
2005-06-01,437.1
2005-07-01,429.0
2005-08-01,433.25
2005-09-01,473.25
2005-10-01,470.75
2005-11-01,495.65
2005-12-01,513.0
2006-01-01,568.75
2006-02-01,556.0
2006-03-01,582.0
2006-04-01,644.0
2006-05-01,653.0
2006-06-01,613.5
2006-07-01,632.5
2006-08-01,623.5
2006-09-01,599.25
2006-10-01,603.75
2006-11-01,646.7
2006-12-01,632.0
2007-01-01,650.5
2007-02-01,664.2
2007-03-01,661.75
2007-04-01,677.0
2007-05-01,659.1
2007-06-01,650.5
2007-07-01,665.5
2007-08-01,672.0
2007-09-01,743.0
2007-10-01,789.5
2007-11-01,783.5
2007-12-01,833.75
2008-01-01,923.25
2008-02-01,971.5
2008-03-01,933.5
2008-04-01,871.0
2008-05-01,885.75
2008-06-01,930.25
2008-07-01,918.0
2008-08-01,833.0
2008-09-01,884.5
2008-10-01,730.75
2008-11-01,814.5
2008-12-01,869.75
2009-01-01,919.5
2009-02-01,952.0
2009-03-01,916.5
2009-04-01,883.25
2009-05-01,975.5
2009-06-01,934.5
2009-07-01,939.0
2009-08-01,955.5
2009-09-01,995.75
2009-10-01,1040.0
2009-11-01,1175.75
2009-12-01,1087.5
2010-01-01,1078.5
2010-02-01,1108.25
2010-03-01,1115.5
2010-04-01,1179.25
2010-05-01,1207.5
2010-06-01,1244.0
2010-07-01,1169.0
2010-08-01,1246.0
2010-09-01,1307.0
2010-10-01,1346.75
2010-11-01,1383.5
2010-12-01,1405.5
2011-01-01,1327.0
2011-02-01,1411.0
2011-03-01,1439.0
2011-04-01,1535.5
2011-05-01,1536.5
2011-06-01,1505.5
2011-07-01,1628.5
2011-08-01,1813.5
2011-09-01,1620.0
2011-10-01,1722.0
2011-11-01,1746.0
2011-12-01,1531.0
2012-01-01,1744.0
2012-02-01,1770.0
2012-03-01,1662.5
2012-04-01,1651.25
2012-05-01,1558.0
2012-06-01,1598.5
2012-07-01,1622.0
2012-08-01,1648.5
2012-09-01,1776.0
2012-10-01,1719.0
2012-11-01,1726.0
2012-12-01,1657.5
2013-01-01,1664.75
2013-02-01,1588.5
2013-03-01,1598.25
2013-04-01,1469.0
2013-05-01,1394.5
2013-06-01,1192.0
2013-07-01,1314.5
2013-08-01,1394.75
2013-09-01,1326.5
2013-10-01,1324.0
2013-11-01,1253.0
2013-12-01,1204.5
2014-01-01,1251.0
2014-02-01,1326.5
2014-03-01,1291.75
2014-04-01,1288.5
2014-05-01,1250.5
2014-06-01,1315.0
2014-07-01,1285.25
2014-08-01,1285.75
2014-09-01,1216.5
2014-10-01,1164.25
2014-11-01,1182.75
2014-12-01,1206.0
2015-01-01,1260.25
2015-02-01,1214.0
2015-03-01,1187.0
2015-04-01,1180.25
2015-05-01,1191.4
2015-06-01,1171.0
2015-07-01,1098.4
2015-08-01,1135.0
2015-09-01,1114.0
2015-10-01,1142.35
2015-11-01,1061.9
2015-12-01,1060.0
2016-01-01,1111.8
2016-02-01,1234.9
2016-03-01,1237.0
2016-04-01,1285.65
2016-05-01,1212.1
2016-06-01,1320.75
2016-07-01,1342.0
2016-08-01,1309.25
2016-09-01,1322.5
2016-10-01,1272.0
2016-11-01,1178.1
2016-12-01,1145.9
2017-01-01,1212.8
2017-02-01,1255.6
2017-03-01,1244.85
2017-04-01,1266.45
2017-05-01,1266.2
2017-06-01,1242.25
2017-07-01,1267.55
2017-08-01,1311.75
2017-09-01,1283.1
2017-10-01,1270.15
2017-11-01,1280.2
2017-12-01,1291.0
2018-01-01,1345.05
2018-02-01,1317.85
2018-03-01,1323.85
2018-04-01,1313.2
2018-05-01,1305.35
2018-06-01,1250.45
2018-07-01,1220.95
2018-08-01,1202.45
2018-09-01,1187.25
2018-10-01,1214.95
2018-11-01,1217.55
2018-12-01,1279.0
2019-01-01,1323.25
2019-02-01,1319.15
2019-03-01,1295.4
2019-04-01,1282.3
2019-05-01,1295.55
2019-06-01,1409.0
2019-07-01,1427.55
2019-08-01,1528.4
2019-09-01,1485.3
2019-10-01,1510.95
2019-11-01,1460.15
2019-12-01,1514.75
2020-01-01,1584.2
2020-02-01,1609.85
2020-03-01,1608.95
2020-04-01,1702.75
