Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,7526.5,7586.5,7519.7001953125,7520.0,7520.0,1864745500
2017-06-01,7520.0,7558.60009765625,7518.2998046875,7543.7998046875,7543.7998046875,859764100
2017-06-02,7543.7998046875,7599.0,7540.0,7547.60009765625,7547.60009765625,799553200
2017-06-05,7547.60009765625,7562.0,7519.10009765625,7525.7998046875,7525.7998046875,606693000
2017-06-06,7525.7998046875,7527.60009765625,7502.7998046875,7525.0,7525.0,842102100
2017-06-07,7525.0,7555.60009765625,7476.2998046875,7478.60009765625,7478.60009765625,874514700
2017-06-08,7478.60009765625,7489.7001953125,7450.0,7450.0,7450.0,867765500
2017-06-09,7450.0,7545.10009765625,7449.7001953125,7527.2998046875,7527.2998046875,1079740000
2017-06-12,7527.2998046875,7540.5,7483.60009765625,7511.89990234375,7511.89990234375,691742100
2017-06-13,7511.89990234375,7540.10009765625,7491.89990234375,7500.39990234375,7500.39990234375,759155200
2017-06-14,7500.39990234375,7545.10009765625,7474.39990234375,7474.39990234375,7474.39990234375,943048700
2017-06-15,7474.39990234375,7474.5,7377.89990234375,7419.39990234375,7419.39990234375,985057200
2017-06-16,7419.39990234375,7479.0,7419.39990234375,7463.5,7463.5,1889237700
2017-06-19,7463.5,7537.7998046875,7463.5,7523.7998046875,7523.7998046875,551165300
2017-06-20,7523.7998046875,7561.10009765625,7472.7001953125,7472.7001953125,7472.7001953125,1005340300
2017-06-21,7472.7001953125,7477.2001953125,7417.5,7447.7998046875,7447.7998046875,843652400
2017-06-22,7447.7998046875,7448.5,7398.7998046875,7439.2998046875,7439.2998046875,789287000
2017-06-23,7439.2998046875,7441.7998046875,7396.7998046875,7424.10009765625,7424.10009765625,608960600
2017-06-26,7424.10009765625,7481.0,7424.10009765625,7446.7998046875,7446.7998046875,702710000
2017-06-27,7446.7998046875,7451.7001953125,7411.39990234375,7434.39990234375,7434.39990234375,704817400
2017-06-28,7434.39990234375,7445.2998046875,7381.39990234375,7387.7998046875,7387.7998046875,833666400
2017-06-29,7387.7998046875,7452.0,7341.7998046875,7350.2998046875,7350.2998046875,930392000
2017-06-30,7350.2998046875,7377.39990234375,7302.7001953125,7312.7001953125,7312.7001953125,978353300
2017-07-03,7312.7001953125,7386.10009765625,7312.2998046875,7377.10009765625,7377.10009765625,704804300
2017-07-04,7377.10009765625,7383.5,7336.7998046875,7357.2001953125,7357.2001953125,597565700
2017-07-05,7357.2001953125,7386.89990234375,7347.5,7367.60009765625,7367.60009765625,924489500
2017-07-06,7367.60009765625,7373.89990234375,7303.5,7337.2998046875,7337.2998046875,767506100
2017-07-07,7337.2998046875,7359.5,7314.7001953125,7350.89990234375,7350.89990234375,670643200
2017-07-10,7350.89990234375,7388.0,7344.2998046875,7370.0,7370.0,597132300
2017-07-11,7370.0,7386.89990234375,7304.7998046875,7329.7998046875,7329.7998046875,662989700
2017-07-12,7329.7998046875,7439.10009765625,7329.7998046875,7416.89990234375,7416.89990234375,796874200
2017-07-13,7416.89990234375,7428.2001953125,7403.7998046875,7413.39990234375,7413.39990234375,941748000
2017-07-14,7413.39990234375,7419.7998046875,7363.7998046875,7378.39990234375,7378.39990234375,827118400
2017-07-17,7378.39990234375,7426.39990234375,7378.2998046875,7404.10009765625,7404.10009765625,595711600
2017-07-18,7404.10009765625,7418.5,7357.7998046875,7390.2001953125,7390.2001953125,615471900
2017-07-19,7390.2001953125,7442.7998046875,7379.2998046875,7430.89990234375,7430.89990234375,640610900
2017-07-20,7430.89990234375,7502.7001953125,7430.89990234375,7487.89990234375,7487.89990234375,706242700
2017-07-21,7487.89990234375,7515.10009765625,7433.89990234375,7452.89990234375,7452.89990234375,701091300
2017-07-24,7452.89990234375,7453.2001953125,7357.5,7377.7001953125,7377.7001953125,1074177600
2017-07-25,7377.7001953125,7453.7001953125,7377.7001953125,7434.7998046875,7434.7998046875,774939600
