Date,sp500_Close,dax_Close,nikkei_Close,ftse_Close
2017-06-02,2439.070068359375,12822.9404296875,20177.279296875,7547.60009765625
2017-06-06,2429.330078125,12690.1201171875,19979.900390625,7525.0
2017-06-07,2433.139892578125,12672.490234375,19984.619140625,7478.60009765625
2017-06-08,2433.7900390625,12713.580078125,19909.259765625,7450.0
2017-06-09,2431.77001953125,12815.7197265625,20013.259765625,7527.2998046875
2017-06-12,2429.389892578125,12690.4404296875,19908.580078125,7511.89990234375
2017-06-13,2440.35009765625,12764.98046875,19898.75,7500.39990234375
2017-06-14,2437.919921875,12805.9501953125,19883.51953125,7474.39990234375
2017-06-15,2432.4599609375,12691.8095703125,19831.8203125,7419.39990234375
2017-06-16,2433.14990234375,12752.73046875,19943.259765625,7463.5
2017-06-19,2453.4599609375,12888.9501953125,20067.75,7523.7998046875
2017-06-20,2437.030029296875,12814.7900390625,20230.41015625,7472.7001953125
2017-06-21,2435.610107421875,12774.259765625,20138.7890625,7447.7998046875
2017-06-22,2434.5,12794.0,20110.509765625,7439.2998046875
2017-06-23,2438.300048828125,12733.41015625,20132.669921875,7424.10009765625
2017-06-26,2439.070068359375,12770.830078125,20153.349609375,7446.7998046875
2017-06-27,2419.3798828125,12671.01953125,20225.08984375,7434.39990234375
2017-06-28,2440.68994140625,12647.26953125,20130.41015625,7387.7998046875
2017-06-29,2419.699951171875,12416.1904296875,20220.30078125,7350.2998046875
2017-06-30,2423.409912109375,12325.1201171875,20033.4296875,7312.7001953125
2017-07-03,2429.010009765625,12475.3095703125,20055.80078125,7377.10009765625
2017-07-05,2432.5400390625,12453.6796875,20081.630859375,7367.60009765625
2017-07-06,2409.75,12381.25,19994.060546875,7337.2998046875
2017-07-07,2425.179931640625,12388.6796875,19929.08984375,7350.89990234375
2017-07-10,2427.429931640625,12445.919921875,20080.98046875,7370.0
2017-07-11,2425.530029296875,12437.01953125,20195.48046875,7329.7998046875
2017-07-12,2443.25,12626.580078125,20098.380859375,7416.89990234375
2017-07-13,2447.830078125,12641.330078125,20099.810546875,7413.39990234375
2017-07-14,2459.27001953125,12631.7197265625,20118.859375,7378.39990234375
2017-07-18,2460.610107421875,12430.3896484375,19999.91015625,7390.2001953125
2017-07-19,2473.830078125,12452.0498046875,20020.859375,7430.89990234375
2017-07-20,2473.449951171875,12447.25,20144.58984375,7487.89990234375
2017-07-21,2472.5400390625,12240.0595703125,20099.75,7452.89990234375
2017-07-24,2469.909912109375,12208.9501953125,19975.669921875,7377.7001953125
2017-07-25,2477.1298828125,12264.3095703125,19955.19921875,7434.7998046875
2017-07-26,2477.830078125,12305.1103515625,20050.16015625,7452.2998046875
2017-07-27,2475.419921875,12212.0400390625,20079.640625,7443.0
2017-07-28,2472.10009765625,12162.7001953125,19959.83984375,7368.39990234375
2017-07-31,2470.300048828125,12118.25,19925.1796875,7372.0
2017-08-01,2476.35009765625,12251.2900390625,19985.7890625,7423.7001953125
2017-08-02,2477.570068359375,12181.48046875,20080.0390625,7411.39990234375
2017-08-03,2472.159912109375,12154.7197265625,20029.259765625,7474.7998046875
2017-08-04,2476.830078125,12297.7197265625,19952.330078125,7511.7001953125
2017-08-07,2480.909912109375,12257.169921875,20055.890625,7531.89990234375
2017-08-08,2474.919921875,12292.0498046875,19996.009765625,7542.7001953125
2017-08-09,2474.02001953125,12154.0,19738.7109375,7498.10009765625
2017-08-10,2438.2099609375,12014.2998046875,19729.740234375,7389.89990234375
2017-08-14,2465.840087890625,12165.1201171875,19537.099609375,7353.89990234375
2017-08-15,2464.610107421875,12177.0400390625,19753.310546875,7383.89990234375
2017-08-16,2468.110107421875,12263.8603515625,19729.279296875,7433.0
2017-08-17,2430.010009765625,12203.4599609375,19702.630859375,7387.89990234375
2017-08-18,2425.550048828125,12165.1904296875,19470.41015625,7324.0
2017-08-21,2428.3701171875,12065.990234375,19393.130859375,7318.89990234375
2017-08-22,2452.510009765625,12229.33984375,19383.83984375,7381.7001953125
2017-08-23,2444.0400390625,12174.2998046875,19434.640625,7382.7001953125
2017-08-24,2438.969970703125,12180.830078125,19353.76953125,7407.10009765625
2017-08-25,2443.050048828125,12167.9404296875,19452.609375,7401.5
2017-08-29,2446.300048828125,11945.8798828125,19362.55078125,7337.39990234375
2017-08-30,2457.590087890625,12002.4697265625,19506.5390625,7365.2998046875
2017-08-31,2471.64990234375,12055.83984375,19646.240234375,7430.60009765625
2017-09-01,2476.550048828125,12142.6396484375,19691.470703125,7438.5
2017-09-05,2457.85009765625,12123.7099609375,19385.810546875,7372.89990234375
2017-09-06,2465.5400390625,12214.5400390625,19357.970703125,7354.10009765625
2017-09-07,2465.10009765625,12296.6298828125,19396.51953125,7397.0
2017-09-08,2461.429931640625,12303.98046875,19274.8203125,7377.60009765625
2017-09-11,2488.110107421875,12475.240234375,19545.76953125,7413.60009765625
2017-09-12,2496.47998046875,12524.76953125,19776.619140625,7400.7001953125
2017-09-13,2498.3701171875,12553.5703125,19865.8203125,7379.7001953125
2017-09-14,2495.6201171875,12540.4501953125,19807.439453125,7295.39990234375
2017-09-15,2500.22998046875,12518.8095703125,19909.5,7215.5
2017-09-19,2506.64990234375,12561.7900390625,20299.380859375,7275.2998046875
2017-09-20,2508.239990234375,12569.169921875,20310.4609375,7272.0
2017-09-21,2500.60009765625,12600.0302734375,20347.48046875,7263.89990234375
2017-09-22,2502.219970703125,12592.349609375,20296.44921875,7310.60009765625
2017-09-25,2496.659912109375,12594.8095703125,20397.580078125,7301.2998046875
2017-09-26,2496.840087890625,12605.2001953125,20330.189453125,7285.7001953125
2017-09-27,2507.0400390625,12657.41015625,20267.05078125,7313.5
2017-09-28,2510.06005859375,12704.650390625,20363.109375,7322.7998046875
2017-09-29,2519.360107421875,12828.8603515625,20356.279296875,7372.7998046875
2017-10-02,2529.1201171875,12902.650390625,20400.779296875,7438.7998046875
2017-10-04,2537.739990234375,12970.51953125,20626.66015625,7467.60009765625
2017-10-05,2552.070068359375,12968.0498046875,20628.560546875,7508.0
2017-10-06,2549.330078125,12955.9404296875,20690.7109375,7522.89990234375
2017-10-10,2550.639892578125,12949.25,20823.509765625,7538.2998046875
2017-10-11,2555.239990234375,12970.6796875,20881.26953125,7533.7998046875
2017-10-12,2550.929931640625,12982.8896484375,20954.720703125,7556.2001953125
2017-10-13,2553.169921875,12991.8701171875,21155.1796875,7535.39990234375
2017-10-16,2557.639892578125,13003.7001953125,21255.560546875,7527.0
2017-10-17,2559.360107421875,12995.0595703125,21336.119140625,7516.2001953125
