Date,Price
1995-03-01,81.9
1995-04-01,81.8
1995-05-01,82.57
1995-06-01,81.58
1995-07-01,81.57
1995-08-01,85.57
1995-09-01,84.29
1995-10-01,83.66
1995-11-01,85.26
1995-12-01,84.76
1996-01-01,87.38
1996-02-01,86.29
1996-03-01,86.52
1996-04-01,88.02
1996-05-01,87.78
1996-06-01,87.82
1996-07-01,85.9
1996-08-01,86.36
1996-09-01,87.94
1996-10-01,87.43
1996-11-01,87.92
1996-12-01,88.18
1997-01-01,93.04
1997-02-01,94.89
1997-03-01,94.72
1997-04-01,97.18
1997-05-01,94.85
1997-06-01,95.67
1997-07-01,99.64
1997-08-01,99.0
1997-09-01,97.11
1997-10-01,95.64
1997-11-01,97.79
1997-12-01,99.65
1998-01-01,100.79
1998-02-01,99.82
1998-03-01,101.5
1998-04-01,99.71
1998-05-01,100.45
1998-06-01,101.17
1998-07-01,101.2
1998-08-01,100.2
1998-09-01,96.17
1998-10-01,93.73
1998-11-01,96.2
1998-12-01,94.17
1999-01-01,96.08
1999-02-01,98.68
1999-03-01,100.1
1999-04-01,101.0
1999-05-01,102.51
1999-06-01,102.85
1999-07-01,99.75
1999-08-01,99.95
1999-09-01,98.54
1999-10-01,99.06
1999-11-01,101.99
1999-12-01,101.87
2000-01-01,105.13
2000-02-01,105.92
2000-03-01,105.44
2000-04-01,110.14
2000-05-01,108.74
2000-06-01,106.84
2000-07-01,109.57
2000-08-01,112.6
2000-09-01,113.25
2000-10-01,116.65
2000-11-01,115.24
2000-12-01,109.56
2001-01-01,110.52
2001-02-01,112.01
2001-03-01,117.37
2001-04-01,115.85
2001-05-01,119.07
2001-06-01,119.43
2001-07-01,117.18
2001-08-01,113.42
2001-09-01,113.48
2001-10-01,114.86
2001-11-01,116.13
2001-12-01,116.75
2002-01-01,120.24
2002-02-01,119.16
2002-03-01,118.62
2002-04-01,115.19
2002-05-01,111.81
2002-06-01,106.11
2002-07-01,107.41
2002-08-01,106.98
2002-09-01,106.87
2002-10-01,106.64
2002-11-01,106.41
2002-12-01,101.85
2003-01-01,99.91
2003-02-01,99.71
2003-03-01,99.06
2003-04-01,97.19
2003-05-01,93.27
2003-06-01,94.73
2003-07-01,96.89
2003-08-01,98.1
2003-09-01,92.85
2003-10-01,92.73
2003-11-01,90.21
2003-12-01,86.92
2004-01-01,87.2
2004-02-01,87.31
2004-03-01,87.61
2004-04-01,90.48
2004-05-01,88.95
2004-06-01,88.8
2004-07-01,89.96
2004-08-01,88.94
2004-09-01,87.36
2004-10-01,84.91
2004-11-01,81.82
2004-12-01,80.85
2005-01-01,83.6
2005-02-01,82.51
2005-03-01,84.06
2005-04-01,84.43
2005-05-01,87.76
2005-06-01,89.11
2005-07-01,89.35
2005-08-01,87.58
2005-09-01,89.52
2005-10-01,90.07
2005-11-01,91.57
2005-12-01,91.17
2006-01-01,88.96
2006-02-01,90.11
2006-03-01,89.73
2006-04-01,86.11
2006-05-01,84.72
2006-06-01,85.22
2006-07-01,85.3
2006-08-01,85.05
2006-09-01,85.97
2006-10-01,85.32
2006-11-01,82.92
2006-12-01,83.72
2007-01-01,84.61
2007-02-01,83.57
2007-03-01,82.93
2007-04-01,81.45
2007-05-01,82.3
2007-06-01,81.92
2007-07-01,80.77
2007-08-01,80.79
2007-09-01,77.72
2007-10-01,76.48
2007-11-01,76.15
2007-12-01,76.69
2008-01-01,75.18
2008-02-01,73.71
2008-03-01,71.8
2008-04-01,72.51
2008-05-01,72.88
2008-06-01,72.46
2008-07-01,73.23
2008-08-01,77.38
2008-09-01,79.45
2008-10-01,85.63
2008-11-01,86.52
2008-12-01,81.15
2009-01-01,85.83
2009-02-01,88.17
2009-03-01,85.51
2009-04-01,84.82
2009-05-01,79.23
2009-06-01,80.16
2009-07-01,78.35
2009-08-01,78.17
2009-09-01,76.65
2009-10-01,76.3
2009-11-01,74.78
2009-12-01,77.86
2010-01-01,79.46
2010-02-01,80.36
2010-03-01,81.07
2010-04-01,81.87
2010-05-01,86.59
2010-06-01,86.02
2010-07-01,81.54
2010-08-01,83.2
2010-09-01,78.72
2010-10-01,77.27
2010-11-01,81.19
2010-12-01,79.03
2011-01-01,77.73
2011-02-01,76.89
2011-03-01,75.86
2011-04-01,72.93
2011-05-01,74.64
2011-06-01,74.3
2011-07-01,73.9
2011-08-01,74.12
2011-09-01,78.55
2011-10-01,76.17
2011-11-01,78.38
2011-12-01,80.18
2012-01-01,79.29
2012-02-01,78.74
2012-03-01,79.0
2012-04-01,78.78
2012-05-01,83.04
2012-06-01,81.63
2012-07-01,82.64
2012-08-01,81.21
2012-09-01,79.94
2012-10-01,79.92
2012-11-01,80.15
2012-12-01,79.77
2013-01-01,79.21
2013-02-01,81.95
2013-03-01,83.22
2013-04-01,81.75
2013-05-01,83.26
2013-06-01,83.14
2013-07-01,81.45
2013-08-01,82.09
2013-09-01,80.22
2013-10-01,80.19
2013-11-01,80.68
2013-12-01,80.03
2014-01-01,81.31
2014-02-01,79.69
2014-03-01,80.1
2014-04-01,79.47
2014-05-01,80.37
2014-06-01,79.78
2014-07-01,81.46
2014-08-01,82.75
2014-09-01,85.94
2014-10-01,86.92
2014-11-01,88.36
2014-12-01,90.27
2015-01-01,94.8
2015-02-01,95.32
2015-03-01,98.36
2015-04-01,94.6
2015-05-01,96.91
2015-06-01,95.48
2015-07-01,97.34
2015-08-01,95.82
2015-09-01,96.35
2015-10-01,96.95
2015-11-01,100.17
2015-12-01,98.63
2016-01-01,99.61
2016-02-01,98.21
2016-03-01,94.59
2016-04-01,93.08
2016-05-01,95.89
2016-06-01,96.14
2016-07-01,95.53
2016-08-01,96.02
2016-09-01,95.46
2016-10-01,98.44
2016-11-01,101.5
2016-12-01,102.21
2017-01-01,99.51
2017-02-01,101.12
2017-03-01,100.35
2017-04-01,99.05
2017-05-01,96.92
2017-06-01,95.63
2017-07-01,92.86
2017-08-01,92.67
2017-09-01,93.08
2017-10-01,94.55
2017-11-01,93.05
2017-12-01,92.12
2018-01-01,89.13
2018-02-01,90.61
2018-03-01,89.97
2018-04-01,91.84
2018-05-01,93.98
2018-06-01,94.64
2018-07-01,94.49
2018-08-01,95.14
2018-09-01,95.13
2018-10-01,97.13
2018-11-01,97.27
2018-12-01,96.17
2019-01-01,95.58
2019-02-01,96.16
2019-03-01,97.28
2019-04-01,97.48
2019-05-01,97.75
2019-06-01,96.13
2019-07-01,98.52
2019-08-01,98.92
2019-09-01,99.38
2019-10-01,97.35
2019-11-01,98.27
2019-12-01,96.39
2020-01-01,97.39
2020-02-01,98.13
2020-03-01,99.05
2020-04-01,99.57
2020-05-01,98.34
2020-06-01,96.95
2020-07-01,99.47
2020-08-01,99.64
2020-09-01,99.61
2020-10-01,97.98
2020-11-01,97.87
2020-12-01,98.02
