Date,Close
1971-01-01,120.239998
1971-02-01,120.260002
1971-03-01,120.169998
1971-04-01,120.190002
1971-05-01,119.43
1971-06-01,119.160004
1971-07-01,118.760002
1971-08-01,116.470001
1971-09-01,114.93
1971-10-01,114.650002
1971-11-01,114.010002
1971-12-01,111.209999
1972-01-01,109.599998
1972-02-01,108.68
1972-03-01,108.400002
1972-04-01,108.620003
1972-05-01,108.169998
1972-06-01,108.510002
1972-07-01,108.760002
1972-08-01,108.959999
1972-09-01,109.389999
1972-10-01,109.900002
1972-11-01,109.849998
1972-12-01,110.139999
1973-01-01,109.010002
1973-02-01,100.129997
1973-03-01,101.169998
1973-04-01,101.43
1973-05-01,98
1973-06-01,93.879997
1973-07-01,92.910004
1973-08-01,95.769997
1973-09-01,94.790001
1973-10-01,95.059998
1973-11-01,100.349998
1973-12-01,102.389999
1974-01-01,105.900002
1974-02-01,103.029999
1974-03-01,99.510002
1974-04-01,98.489998
1974-05-01,99.769997
1974-06-01,100.160004
1974-07-01,100.540001
1974-08-01,103.18
1974-09-01,102.480003
1974-10-01,101.260002
1974-11-01,99.57
1974-12-01,97.290001
1975-01-01,95.610001
1975-02-01,93
1975-03-01,94.82
1975-04-01,95.389999
1975-05-01,94.629997
1975-06-01,95.860001
1975-07-01,101.25
1975-08-01,101.790001
1975-09-01,104.239998
1975-10-01,101.610001
1975-11-01,103.529999
1975-12-01,103.510002
1976-01-01,103.879997
1976-02-01,103.660004
1976-03-01,105.339996
1976-04-01,106.230003
1976-05-01,107.290001
1976-06-01,106.639999
1976-07-01,106.559998
1976-08-01,106.129997
1976-09-01,105.5
1976-10-01,105.940002
1976-11-01,106.190002
1976-12-01,104.559998
1977-01-01,105.540001
1977-02-01,105.260002
1977-03-01,105.029999
1977-04-01,104.389999
1977-05-01,104.519997
1977-06-01,103.839996
1977-07-01,102.860001
1977-08-01,103.639999
1977-09-01,103.209999
1977-10-01,100.959999
1977-11-01,100.370003
1977-12-01,96.440002
1978-01-01,96.639999
1978-02-01,94.599998
1978-03-01,93.839996
1978-04-01,95.620003
1978-05-01,95.459999
1978-06-01,93.529999
1978-07-01,90.940002
1978-08-01,90
1978-09-01,88.830002
1978-10-01,83.07
1978-11-01,90.220001
1978-12-01,86.5
1979-01-01,88.860001
1979-02-01,88.18
1979-03-01,88.529999
1979-04-01,89.980003
1979-05-01,90.529999
1979-06-01,87.849998
1979-07-01,87.309998
1979-08-01,87.190002
1979-09-01,85.449997
1979-10-01,88.949997
1979-11-01,86.790001
1979-12-01,85.82
1980-01-01,86.139999
1980-02-01,87.650002
1980-03-01,93.580002
1980-04-01,88.110001
1980-05-01,85.93
1980-06-01,85.199997
1980-07-01,86.080002
1980-08-01,85.849998
1980-09-01,86.019997
1980-10-01,88.379997
1980-11-01,90.010002
1980-12-01,90.389999
1981-01-01,95.239998
1981-02-01,97.059998
1981-03-01,96.760002
1981-04-01,100.449997
1981-05-01,104.949997
1981-06-01,107.709999
1981-07-01,111.720001
1981-08-01,110.279999
1981-09-01,107.730003
1981-10-01,106.129997
1981-11-01,103.18
1981-12-01,104.690002
1982-01-01,108.029999
1982-02-01,111.93
1982-03-01,114.730003
1982-04-01,111.599998
1982-05-01,112.790001
1982-06-01,119.040001
1982-07-01,119.050003
1982-08-01,120.290001
1982-09-01,122.199997
1982-10-01,124.779999
1982-11-01,121
1982-12-01,117.360001
1983-01-01,121.120003
1983-02-01,120.349998
1983-03-01,122.209999
1983-04-01,122.389999
1983-05-01,123.790001
1983-06-01,124.940002
1983-07-01,128.440002
1983-08-01,130.839996
1983-09-01,128.350006
1983-10-01,128.399994
1983-11-01,130.639999
1983-12-01,131.789993
1984-01-01,135.509995
1984-02-01,128.25
1984-03-01,128.220001
1984-04-01,132.639999
1984-05-01,133.690002
1984-06-01,136.259995
1984-07-01,141.289993
1984-08-01,140.330002
1984-09-01,147.550003
1984-10-01,146.389999
1984-11-01,149.210007
1984-12-01,151.470001
1985-01-01,152.720001
1985-02-01,160.410004
1985-03-01,149.179993
1985-04-01,149.699997
1985-05-01,147.860001
